city,date,dl_applied,eliminator,overs,player_of_match,result,season,team1,team2,toss_decision,toss_winner,umpire1,umpire2,umpire3,venue,win_by_runs,win_by_wickets,winner
Delhi,2018-05-02,D/L,,20,RR Pant,,2018,Delhi Daredevils,Rajasthan Royals,field,Rajasthan Royals,VK Sharma,CK Nandan,,Feroz Shah Kotla,4,,Delhi Daredevils
Chennai,2011-04-08,,,20,S Anirudha,,2011,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,BR Doctrove,PR Reiffel,,"MA Chidambaram Stadium, Chepauk",2,,Chennai Super Kings
Delhi,2019-04-04,,,20,JM Bairstow,,2019,Delhi Capitals,Sunrisers Hyderabad,field,Sunrisers Hyderabad,KN Ananthapadmanabhan,C Shamshuddin,,Feroz Shah Kotla,,5,Sunrisers Hyderabad
Durban,2009-05-01,,,20,Yuvraj Singh,,2009,Royal Challengers Bangalore,Kings XI Punjab,bat,Royal Challengers Bangalore,HDPK Dharmasena,S Ravi,,Kingsmead,8,,Royal Challengers Bangalore
Pune,2018-05-05,,,20,RA Jadeja,,2018,Chennai Super Kings,Royal Challengers Bangalore,field,Chennai Super Kings,Nitin Menon,YC Barde,,Maharashtra Cricket Association Stadium,,6,Chennai Super Kings
Cape Town,2009-04-18,,,20,SR Tendulkar,,2009,Chennai Super Kings,Mumbai Indians,field,Chennai Super Kings,BR Doctrove,K Hariharan,,Newlands,19,,Mumbai Indians
Cuttack,2012-04-22,,,20,B Lee,,2012,Deccan Chargers,Kolkata Knight Riders,field,Kolkata Knight Riders,BF Bowden,SK Tarapore,,Barabati Stadium,,5,Kolkata Knight Riders
Mumbai,2012-05-09,,,20,CH Gayle,,2012,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,VA Kulkarni,,Wankhede Stadium,,9,Royal Challengers Bangalore
Jaipur,2019-04-27,,,20,JD Unadkat,,2019,Rajasthan Royals,Sunrisers Hyderabad,field,Rajasthan Royals,YC Barde,A Nand Kishore,,Sawai Mansingh Stadium,,7,Rajasthan Royals
Mumbai,2018-05-16,,,20,JJ Bumrah,,2018,Mumbai Indians,Kings XI Punjab,field,Kings XI Punjab,M Erasmus,Nitin Menon,,Wankhede Stadium,3,,Mumbai Indians
Pune,2013-05-09,,,20,G Gambhir,,2013,Pune Warriors,Kolkata Knight Riders,bat,Kolkata Knight Riders,Asad Rauf,S Asnani,,Subrata Roy Sahara Stadium,46,,Kolkata Knight Riders
Mumbai,2013-04-09,,,20,KD Karthik,,2013,Mumbai Indians,Delhi Daredevils,bat,Mumbai Indians,M Erasmus,VA Kulkarni,,Wankhede Stadium,44,,Mumbai Indians
Kolkata,2015-05-04,,,20,UT Yadav,,2015,Kolkata Knight Riders,Sunrisers Hyderabad,field,Sunrisers Hyderabad,AK Chaudhary,M Erasmus,,Eden Gardens,35,,Kolkata Knight Riders
Ahmedabad,2014-05-05,,,20,PV Tambe,,2014,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,NJ Llong,CK Nandan,,"Sardar Patel Stadium, Motera",10,,Rajasthan Royals
Chandigarh,2011-05-08,,,20,R Sharma,,2011,Kings XI Punjab,Pune Warriors,bat,Kings XI Punjab,SK Tarapore,RJ Tucker,,"Punjab Cricket Association Stadium, Mohali",,5,Pune Warriors
Chandigarh,2014-05-25,,,20,M Vohra,,2014,Kings XI Punjab,Delhi Daredevils,field,Kings XI Punjab,HDPK Dharmasena,VA Kulkarni,,"Punjab Cricket Association Stadium, Mohali",,7,Kings XI Punjab
Durban,2009-04-21,D/L,,20,CH Gayle,,2009,Kings XI Punjab,Kolkata Knight Riders,field,Kolkata Knight Riders,DJ Harper,SD Ranade,,Kingsmead,11,,Kolkata Knight Riders
Mumbai,2018-05-22,,,20,F du Plessis,,2018,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings,C Shamshuddin,M Erasmus,,Wankhede Stadium,,2,Chennai Super Kings
Chennai,2012-04-21,,,20,F du Plessis,,2012,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,Aleem Dar,BNJ Oxenford,,"MA Chidambaram Stadium, Chepauk",,7,Chennai Super Kings
Bangalore,2012-05-14,,,20,AT Rayudu,,2012,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians,S Das,BR Doctrove,,M Chinnaswamy Stadium,,5,Mumbai Indians
Chennai,2015-05-04,,,20,SK Raina,,2015,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,C Shamshuddin,K Srinath,,"MA Chidambaram Stadium, Chepauk",24,,Chennai Super Kings
Delhi,2013-05-10,,,20,JD Unadkat,,2013,Delhi Daredevils,Royal Challengers Bangalore,field,Delhi Daredevils,NJ Llong,K Srinath,,Feroz Shah Kotla,4,,Royal Challengers Bangalore
Delhi,2014-05-05,,,20,DR Smith,,2014,Delhi Daredevils,Chennai Super Kings,field,Chennai Super Kings,RM Deshpande,BNJ Oxenford,,Feroz Shah Kotla,,8,Chennai Super Kings
Delhi,2013-04-06,,,20,R Dravid,,2013,Delhi Daredevils,Rajasthan Royals,bat,Rajasthan Royals,S Das,C Shamshuddin,,Feroz Shah Kotla,5,,Rajasthan Royals
Durban,2009-05-05,,,20,G Gambhir,,2009,Delhi Daredevils,Kolkata Knight Riders,bat,Kolkata Knight Riders,GAV Baxter,IL Howell,,Kingsmead,,9,Delhi Daredevils
Hyderabad,2018-04-22,,,20,AT Rayudu,,2018,Sunrisers Hyderabad,Chennai Super Kings,field,Sunrisers Hyderabad,VA Kulkarni,AK Chaudhary,,"Rajiv Gandhi International Stadium, Uppal",4,,Chennai Super Kings
Raipur,2016-05-22,,,20,V Kohli,,2016,Delhi Daredevils,Royal Challengers Bangalore,field,Royal Challengers Bangalore,A Nand Kishore,BNJ Oxenford,,Shaheed Veer Narayan Singh International Stadium,,6,Royal Challengers Bangalore
Abu Dhabi,2014-04-18,,,20,GJ Maxwell,,2014,Chennai Super Kings,Kings XI Punjab,bat,Chennai Super Kings,RK Illingworth,C Shamshuddin,,Sheikh Zayed Stadium,,6,Kings XI Punjab
Chandigarh,2019-03-30,,,20,MA Agarwal,,2019,Kings XI Punjab,Mumbai Indians,field,Kings XI Punjab,VA Kulkarni,CB Gaffaney,,"Punjab Cricket Association IS Bindra Stadium, Mohali",,8,Kings XI Punjab
Kimberley,2009-05-09,,,20,DPMD Jayawardene,,2009,Deccan Chargers,Kings XI Punjab,field,Kings XI Punjab,GAV Baxter,AM Saheba,,De Beers Diamond Oval,,3,Kings XI Punjab
Kolkata,2018-04-21,D/L,,20,KL Rahul,,2018,Kolkata Knight Riders,Kings XI Punjab,field,Kings XI Punjab,C Shamshuddin,A Deshmukh,,Eden Gardens,,9,Kings XI Punjab
Pune,2018-04-28,,,20,RG Sharma,,2018,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,CB Gaffaney,Nitin Menon,,Maharashtra Cricket Association Stadium,,8,Mumbai Indians
Hyderabad,2019-03-29,,,20,Rashid Khan,,2019,Sunrisers Hyderabad,Rajasthan Royals,bat,Rajasthan Royals,C Shamshuddin,BNJ Oxenford,,"Rajiv Gandhi International Stadium, Uppal",,5,Sunrisers Hyderabad
Bangalore,2010-04-10,,,20,R Vinay Kumar,,2010,Royal Challengers Bangalore,Kolkata Knight Riders,field,Royal Challengers Bangalore,K Hariharan,DJ Harper,,M Chinnaswamy Stadium,,7,Royal Challengers Bangalore
Pune,2012-05-03,,,20,SL Malinga,,2012,Pune Warriors,Mumbai Indians,bat,Mumbai Indians,Asad Rauf,S Asnani,,Subrata Roy Sahara Stadium,1,,Mumbai Indians
Jaipur,2019-04-20,,,20,SPD Smith,,2019,Rajasthan Royals,Mumbai Indians,field,Rajasthan Royals,YC Barde,S Ravi,,Sawai Mansingh Stadium,,5,Rajasthan Royals
Hyderabad,2008-05-01,,,20,SE Marsh,,2008,Deccan Chargers,Kings XI Punjab,field,Kings XI Punjab,BR Doctrove,RB Tiffin,,"Rajiv Gandhi International Stadium, Uppal",,7,Kings XI Punjab
Chennai,2013-05-14,,,20,MS Dhoni,,2013,Chennai Super Kings,Delhi Daredevils,bat,Chennai Super Kings,C Shamshuddin,RJ Tucker,,"MA Chidambaram Stadium, Chepauk",33,,Chennai Super Kings
Mumbai,2013-04-29,,,20,RG Sharma,,2013,Mumbai Indians,Kings XI Punjab,bat,Mumbai Indians,Asad Rauf,AK Chaudhary,,Wankhede Stadium,4,,Mumbai Indians
Chennai,2019-04-23,,,20,SR Watson,,2019,Chennai Super Kings,Sunrisers Hyderabad,field,Chennai Super Kings,NJ Llong,AK Chaudhary,,"MA Chidambaram Stadium, Chepauk",,6,Chennai Super Kings
Bangalore,2012-05-06,,,20,AB de Villiers,,2012,Royal Challengers Bangalore,Deccan Chargers,field,Royal Challengers Bangalore,HDPK Dharmasena,BNJ Oxenford,,M Chinnaswamy Stadium,,5,Royal Challengers Bangalore
Chennai,2019-04-09,,,20,DL Chahar,,2019,Chennai Super Kings,Kolkata Knight Riders,field,Chennai Super Kings,RJ Tucker,C Shamshuddin,,"MA Chidambaram Stadium, Chepauk",,7,Chennai Super Kings
Hyderabad,2013-05-17,,,20,A Mishra,,2013,Sunrisers Hyderabad,Rajasthan Royals,bat,Sunrisers Hyderabad,Asad Rauf,AK Chaudhary,,"Rajiv Gandhi International Stadium, Uppal",23,,Sunrisers Hyderabad
Chennai,2013-04-25,,,20,MS Dhoni,,2013,Chennai Super Kings,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Aleem Dar,S Das,,"MA Chidambaram Stadium, Chepauk",,5,Chennai Super Kings
Bangalore,2016-05-11,,,20,KH Pandya,,2016,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians,AY Dandekar,C Shamshuddin,,M Chinnaswamy Stadium,,6,Mumbai Indians
Kimberley,2009-05-11,,,20,DR Smith,,2009,Deccan Chargers,Rajasthan Royals,bat,Deccan Chargers,GAV Baxter,HDPK Dharmasena,,De Beers Diamond Oval,53,,Deccan Chargers
Visakhapatnam,2016-05-10,,,20,A Zampa,,2016,Rising Pune Supergiants,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,CB Gaffaney,VK Sharma,,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,4,,Sunrisers Hyderabad
Port Elizabeth,2009-05-16,,,20,ML Hayden,,2009,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,SK Tarapore,SJA Taufel,,St George's Park,,7,Chennai Super Kings
Delhi,2013-05-21,,,20,MEK Hussey,,2013,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings,NJ Llong,RJ Tucker,,Feroz Shah Kotla,48,,Chennai Super Kings
Chandigarh,2013-04-21,,,20,DA Miller,,2013,Kings XI Punjab,Pune Warriors,field,Kings XI Punjab,M Erasmus,K Srinath,,"Punjab Cricket Association Stadium, Mohali",,7,Kings XI Punjab
Chandigarh,2019-04-13,,,20,AB de Villiers,,2019,Kings XI Punjab,Royal Challengers Bangalore,field,Royal Challengers Bangalore,UV Gandhe,S Ravi,,"Punjab Cricket Association IS Bindra Stadium, Mohali",,8,Royal Challengers Bangalore
Delhi,2012-04-10,,,20,M Morkel,,2012,Delhi Daredevils,Chennai Super Kings,field,Delhi Daredevils,Asad Rauf,SK Tarapore,,Feroz Shah Kotla,,8,Delhi Daredevils
Chennai,2012-04-28,,,20,Mandeep Singh,,2012,Chennai Super Kings,Kings XI Punjab,bat,Kings XI Punjab,BF Bowden,SK Tarapore,,"MA Chidambaram Stadium, Chepauk",7,,Kings XI Punjab
Kolkata,2013-04-20,,,20,RA Jadeja,,2013,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,Asad Rauf,AK Chaudhary,,Eden Gardens,,4,Chennai Super Kings
Hyderabad,2011-05-03,,,20,YK Pathan,,2011,Deccan Chargers,Kolkata Knight Riders,field,Deccan Chargers,S Asnani,RJ Tucker,,"Rajiv Gandhi International Stadium, Uppal",20,,Kolkata Knight Riders
Visakhapatnam,2012-04-07,,,20,RA Jadeja,,2012,Deccan Chargers,Chennai Super Kings,field,Deccan Chargers,JD Cloete,HDPK Dharmasena,,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,74,,Chennai Super Kings
Kolkata,2012-04-28,,,20,G Gambhir,,2012,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Kolkata Knight Riders,Asad Rauf,BR Doctrove,,Eden Gardens,47,,Kolkata Knight Riders
Kolkata,2019-04-14,,,20,Imran Tahir,,2019,Kolkata Knight Riders,Chennai Super Kings,field,Chennai Super Kings,RJ Tucker,CK Nandan,,Eden Gardens,,5,Chennai Super Kings
Chennai,2008-05-21,,,20,A Kumble,,2008,Chennai Super Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,DJ Harper,I Shivram,,"MA Chidambaram Stadium, Chepauk",14,,Royal Challengers Bangalore
Kolkata,2010-04-04,,,20,DPMD Jayawardene,,2010,Kolkata Knight Riders,Kings XI Punjab,bat,Kolkata Knight Riders,S Asnani,DJ Harper,,Eden Gardens,,8,Kings XI Punjab
Visakhapatnam,2016-05-15,,,20,KH Pandya,,2016,Mumbai Indians,Delhi Daredevils,field,Delhi Daredevils,Nitin Menon,CK Nandan,,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,80,,Mumbai Indians
Pune,2016-04-24,,,20,SA Yadav,,2016,Rising Pune Supergiants,Kolkata Knight Riders,field,Kolkata Knight Riders,CB Gaffaney,A Nand Kishore,,Maharashtra Cricket Association Stadium,,2,Kolkata Knight Riders
Johannesburg,2009-05-19,,,20,JH Kallis,,2009,Royal Challengers Bangalore,Delhi Daredevils,bat,Delhi Daredevils,IL Howell,RB Tiffin,,New Wanderers Stadium,,7,Royal Challengers Bangalore
Centurion,2009-05-21,,,20,V Sehwag,,2009,Delhi Daredevils,Mumbai Indians,field,Delhi Daredevils,IL Howell,S Ravi,,SuperSport Park,,4,Delhi Daredevils
Mumbai,2015-05-07,,,20,EJG Morgan,,2015,Rajasthan Royals,Sunrisers Hyderabad,field,Rajasthan Royals,JD Cloete,C Shamshuddin,,Brabourne Stadium,7,,Sunrisers Hyderabad
Hyderabad,2013-04-05,,,20,A Mishra,,2013,Sunrisers Hyderabad,Pune Warriors,field,Pune Warriors,S Ravi,SJA Taufel,,"Rajiv Gandhi International Stadium, Uppal",22,,Sunrisers Hyderabad
Pune,2013-05-11,,,20,MG Johnson,,2013,Pune Warriors,Mumbai Indians,bat,Pune Warriors,Asad Rauf,AK Chaudhary,,Subrata Roy Sahara Stadium,,5,Mumbai Indians
Chandigarh,2012-05-13,,,20,DJ Hussey,,2012,Kings XI Punjab,Deccan Chargers,bat,Deccan Chargers,HDPK Dharmasena,BNJ Oxenford,,"Punjab Cricket Association Stadium, Mohali",,4,Kings XI Punjab
Delhi,2012-04-21,,,20,SC Ganguly,,2012,Delhi Daredevils,Pune Warriors,field,Delhi Daredevils,Asad Rauf,S Das,,Feroz Shah Kotla,20,,Pune Warriors
Pune,2018-05-20,,,20,L Ngidi,,2018,Chennai Super Kings,Kings XI Punjab,field,Chennai Super Kings,Nitin Menon,YC Barde,,Maharashtra Cricket Association Stadium,,5,Chennai Super Kings
Jaipur,2011-05-09,,,20,M Vijay,,2011,Rajasthan Royals,Chennai Super Kings,field,Rajasthan Royals,K Hariharan,SJA Taufel,,Sawai Mansingh Stadium,63,,Chennai Super Kings
Chandigarh,2013-04-10,,,20,MEK Hussey,,2013,Kings XI Punjab,Chennai Super Kings,field,Chennai Super Kings,Aleem Dar,C Shamshuddin,,"Punjab Cricket Association Stadium, Mohali",,10,Chennai Super Kings
Cuttack,2014-05-07,,,20,GJ Maxwell,,2014,Kings XI Punjab,Chennai Super Kings,field,Chennai Super Kings,HDPK Dharmasena,PG Pathak,,Barabati Stadium,44,,Kings XI Punjab
Chandigarh,2013-05-09,,,20,KK Cooper,,2013,Kings XI Punjab,Rajasthan Royals,field,Rajasthan Royals,HDPK Dharmasena,S Ravi,,"Punjab Cricket Association Stadium, Mohali",,8,Rajasthan Royals
Bengaluru,2018-05-17,,,20,AB de Villiers,,2018,Royal Challengers Bangalore,Sunrisers Hyderabad,field,Sunrisers Hyderabad,AY Dandekar,S Ravi,,M.Chinnaswamy Stadium,14,,Royal Challengers Bangalore
Delhi,2019-04-28,,,20,S Dhawan,,2019,Delhi Capitals,Royal Challengers Bangalore,bat,Delhi Capitals,KN Ananthapadmanabhan,BNJ Oxenford,,Feroz Shah Kotla,16,,Delhi Capitals
Jaipur,2012-05-10,,,20,BW Hilfenhaus,,2012,Rajasthan Royals,Chennai Super Kings,field,Chennai Super Kings,BNJ Oxenford,C Shamshuddin,,Sawai Mansingh Stadium,,4,Chennai Super Kings
Mumbai,2012-04-22,,,20,SE Marsh,,2012,Mumbai Indians,Kings XI Punjab,bat,Mumbai Indians,S Ravi,RJ Tucker,,Wankhede Stadium,,6,Kings XI Punjab
Delhi,2010-04-11,,,20,PP Chawla,,2010,Delhi Daredevils,Kings XI Punjab,bat,Delhi Daredevils,BF Bowden,AM Saheba,,Feroz Shah Kotla,,7,Kings XI Punjab
Delhi,2018-04-27,,,20,SS Iyer,,2018,Delhi Daredevils,Kolkata Knight Riders,field,Kolkata Knight Riders,C Shamshuddin,S Ravi,,Feroz Shah Kotla,55,,Delhi Daredevils
Pune,2016-04-29,,,20,DR Smith,,2016,Rising Pune Supergiants,Gujarat Lions,field,Gujarat Lions,CB Gaffaney,BNJ Oxenford,,Maharashtra Cricket Association Stadium,,3,Gujarat Lions
Bengaluru,2018-04-21,,,20,AB de Villiers,,2018,Royal Challengers Bangalore,Delhi Daredevils,field,Royal Challengers Bangalore,CB Gaffaney,CK Nandan,,M.Chinnaswamy Stadium,,6,Royal Challengers Bangalore
Delhi,2016-05-27,,,20,DA Warner,,2016,Gujarat Lions,Sunrisers Hyderabad,field,Sunrisers Hyderabad,M Erasmus,CK Nandan,,Feroz Shah Kotla,,4,Sunrisers Hyderabad
Kimberley,2009-05-09,,,20,S Badrinath,,2009,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,GAV Baxter,HDPK Dharmasena,,De Beers Diamond Oval,,7,Chennai Super Kings
Bengaluru,2019-03-28,,,20,JJ Bumrah,,2019,Royal Challengers Bangalore,Mumbai Indians,field,Royal Challengers Bangalore,CK Nandan,S Ravi,,M.Chinnaswamy Stadium,6,,Mumbai Indians
Abu Dhabi,2014-04-18,,,20,AM Rahane,,2014,Sunrisers Hyderabad,Rajasthan Royals,field,Rajasthan Royals,BF Bowden,RK Illingworth,,Sheikh Zayed Stadium,,4,Rajasthan Royals
Jaipur,2018-04-22,,,20,JC Archer,,2018,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,KN Ananthapadmanabhan,RJ Tucker,,Sawai Mansingh Stadium,,3,Rajasthan Royals
Durban,2009-05-05,,,20,GC Smith,,2009,Kings XI Punjab,Rajasthan Royals,field,Kings XI Punjab,SS Hazare,IL Howell,,Kingsmead,78,,Rajasthan Royals
Delhi,2019-03-30,,Delhi Capitals,20,PP Shaw,tie,2019,Delhi Capitals,Kolkata Knight Riders,field,Delhi Capitals,AY Dandekar,Nitin Menon,,Feroz Shah Kotla,,,
Indore,2018-05-12,,,20,SP Narine,,2018,Kings XI Punjab,Kolkata Knight Riders,field,Kings XI Punjab,VK Sharma,CK Nandan,,Holkar Cricket Stadium,31,,Kolkata Knight Riders
Dharamsala,2012-05-19,,,20,UT Yadav,,2012,Kings XI Punjab,Delhi Daredevils,field,Delhi Daredevils,BF Bowden,VA Kulkarni,,Himachal Pradesh Cricket Association Stadium,,6,Delhi Daredevils
Delhi,2012-04-19,,,20,KP Pietersen,,2012,Delhi Daredevils,Deccan Chargers,bat,Deccan Chargers,BF Bowden,SK Tarapore,,Feroz Shah Kotla,,5,Delhi Daredevils
Cape Town,2009-04-26,,,20,KC Sangakkara,,2009,Kings XI Punjab,Rajasthan Royals,bat,Kings XI Punjab,M Erasmus,K Hariharan,,Newlands,27,,Kings XI Punjab
Jaipur,2011-04-15,,,20,G Gambhir,,2011,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,Aleem Dar,SS Hazare,,Sawai Mansingh Stadium,,9,Kolkata Knight Riders
Mumbai,2015-05-10,,,20,AB de Villiers,,2015,Mumbai Indians,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,JD Cloete,C Shamshuddin,,Wankhede Stadium,39,,Royal Challengers Bangalore
Chennai,2013-04-13,,,20,RA Jadeja,,2013,Chennai Super Kings,Royal Challengers Bangalore,field,Chennai Super Kings,Asad Rauf,AK Chaudhary,,"MA Chidambaram Stadium, Chepauk",,4,Chennai Super Kings
Jaipur,2013-05-05,,,20,AM Rahane,,2013,Rajasthan Royals,Pune Warriors,bat,Pune Warriors,C Shamshuddin,RJ Tucker,,Sawai Mansingh Stadium,,5,Rajasthan Royals
Hyderabad,2012-05-18,,,20,DW Steyn,,2012,Deccan Chargers,Rajasthan Royals,bat,Rajasthan Royals,S Ravi,SJA Taufel,,"Rajiv Gandhi International Stadium, Uppal",,5,Deccan Chargers
Jaipur,2012-04-17,,,20,BJ Hodge,,2012,Rajasthan Royals,Deccan Chargers,bat,Deccan Chargers,Aleem Dar,BNJ Oxenford,,Sawai Mansingh Stadium,,5,Rajasthan Royals
Jaipur,2018-05-11,,,20,JC Buttler,,2018,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings,M Erasmus,YC Barde,,Sawai Mansingh Stadium,,4,Rajasthan Royals
Durban,2009-04-25,,,20,PP Ojha,,2009,Deccan Chargers,Mumbai Indians,bat,Deccan Chargers,HDPK Dharmasena,SJA Taufel,,Kingsmead,12,,Deccan Chargers
Pune,2017-05-01,,,20,BA Stokes,,2017,Rising Pune Supergiant,Gujarat Lions,field,Rising Pune Supergiant,M Erasmus,C Shamshuddin,,Maharashtra Cricket Association Stadium,,5,Rising Pune Supergiant
Chennai,2013-04-15,,,20,SPD Smith,,2013,Chennai Super Kings,Pune Warriors,bat,Pune Warriors,Asad Rauf,AK Chaudhary,,"MA Chidambaram Stadium, Chepauk",24,,Pune Warriors
Mumbai,2014-05-10,,,20,DR Smith,,2014,Mumbai Indians,Chennai Super Kings,field,Chennai Super Kings,HDPK Dharmasena,VA Kulkarni,,Wankhede Stadium,,4,Chennai Super Kings
Raipur,2013-05-01,,,20,DA Warner,,2013,Delhi Daredevils,Kolkata Knight Riders,bat,Kolkata Knight Riders,HDPK Dharmasena,CK Nandan,,Shaheed Veer Narayan Singh International Stadium,,7,Delhi Daredevils
Mumbai,2019-04-03,,,20,HH Pandya,,2019,Mumbai Indians,Chennai Super Kings,field,Chennai Super Kings,RJ Tucker,BNJ Oxenford,,Wankhede Stadium,37,,Mumbai Indians
,2014-04-23,,,20,RA Jadeja,,2014,Rajasthan Royals,Chennai Super Kings,field,Rajasthan Royals,HDPK Dharmasena,RK Illingworth,,Dubai International Cricket Stadium,7,,Chennai Super Kings
Visakhapatnam,2016-05-21,,,20,MS Dhoni,,2016,Rising Pune Supergiants,Kings XI Punjab,bat,Kings XI Punjab,HDPK Dharmasena,Nitin Menon,,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,,4,Rising Pune Supergiants
Indore,2018-05-04,,,20,SA Yadav,,2018,Kings XI Punjab,Mumbai Indians,field,Mumbai Indians,AY Dandekar,S Ravi,,Holkar Cricket Stadium,,6,Mumbai Indians
Port Elizabeth,2009-05-02,,,20,YK Pathan,,2009,Deccan Chargers,Rajasthan Royals,bat,Deccan Chargers,S Asnani,BG Jerling,,St George's Park,,3,Rajasthan Royals
Hyderabad,2011-04-09,,,20,SK Trivedi,,2011,Deccan Chargers,Rajasthan Royals,field,Rajasthan Royals,RE Koertzen,SK Tarapore,,"Rajiv Gandhi International Stadium, Uppal",,8,Rajasthan Royals
Kolkata,2016-04-13,,,20,RG Sharma,,2016,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,Nitin Menon,S Ravi,,Eden Gardens,,6,Mumbai Indians
Kolkata,2018-05-03,,,20,SP Narine,,2018,Kolkata Knight Riders,Chennai Super Kings,field,Kolkata Knight Riders,HDPK Dharmasena,A Deshmukh,,Eden Gardens,,6,Kolkata Knight Riders
Centurion,2009-04-30,,,20,SK Raina,,2009,Chennai Super Kings,Rajasthan Royals,field,Rajasthan Royals,GAV Baxter,RE Koertzen,,SuperSport Park,38,,Chennai Super Kings
Kolkata,2010-03-14,,,20,MK Tiwary,,2010,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,HDPK Dharmasena,AM Saheba,,Eden Gardens,,7,Kolkata Knight Riders
Chandigarh,2015-05-16,,,20,P Negi,,2015,Kings XI Punjab,Chennai Super Kings,bat,Kings XI Punjab,CK Nandan,C Shamshuddin,,"Punjab Cricket Association Stadium, Mohali",,7,Chennai Super Kings
Chandigarh,2008-05-28,,,20,SE Marsh,,2008,Kings XI Punjab,Rajasthan Royals,field,Rajasthan Royals,SJ Davis,K Hariharan,,"Punjab Cricket Association Stadium, Mohali",41,,Kings XI Punjab
Hyderabad,2019-04-14,,,20,KMA Paul,,2019,Sunrisers Hyderabad,Delhi Capitals,field,Sunrisers Hyderabad,BNJ Oxenford,AK Chaudhary,,"Rajiv Gandhi International Stadium, Uppal",39,,Delhi Capitals
Delhi,2012-04-29,,,20,V Sehwag,,2012,Delhi Daredevils,Rajasthan Royals,bat,Delhi Daredevils,S Ravi,RJ Tucker,,Feroz Shah Kotla,1,,Delhi Daredevils
Bangalore,2012-04-07,,,20,AB de Villiers,,2012,Royal Challengers Bangalore,Delhi Daredevils,field,Delhi Daredevils,S Asnani,S Ravi,,M Chinnaswamy Stadium,20,,Royal Challengers Bangalore
Delhi,2011-05-02,,,20,P Parameswaran,,2011,Delhi Daredevils,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,Asad Rauf,SL Shastri,,Feroz Shah Kotla,,7,Kochi Tuskers Kerala
Bangalore,2013-04-20,,,20,R Vinay Kumar,,2013,Royal Challengers Bangalore,Rajasthan Royals,field,Royal Challengers Bangalore,Aleem Dar,C Shamshuddin,,M Chinnaswamy Stadium,,7,Royal Challengers Bangalore
Bangalore,2014-06-01,,,20,MK Pandey,,2014,Kolkata Knight Riders,Kings XI Punjab,field,Kolkata Knight Riders,HDPK Dharmasena,BNJ Oxenford,,M Chinnaswamy Stadium,,3,Kolkata Knight Riders
Mumbai,2017-04-24,,,20,BA Stokes,,2017,Mumbai Indians,Rising Pune Supergiant,field,Mumbai Indians,A Nand Kishore,S Ravi,,Wankhede Stadium,3,,Rising Pune Supergiant
Delhi,2012-04-27,,,20,V Sehwag,,2012,Delhi Daredevils,Mumbai Indians,field,Mumbai Indians,Aleem Dar,BNJ Oxenford,,Feroz Shah Kotla,37,,Delhi Daredevils
Mumbai,2012-04-11,,,20,KA Pollard,,2012,Mumbai Indians,Rajasthan Royals,field,Rajasthan Royals,Aleem Dar,BNJ Oxenford,,Wankhede Stadium,27,,Mumbai Indians
Mumbai,2019-04-13,,,20,JC Buttler,,2019,Mumbai Indians,Rajasthan Royals,field,Rajasthan Royals,Nitin Menon,A Nand Kishore,,Wankhede Stadium,,4,Rajasthan Royals
Delhi,2013-04-21,,,20,V Sehwag,,2013,Delhi Daredevils,Mumbai Indians,bat,Mumbai Indians,HDPK Dharmasena,S Ravi,,Feroz Shah Kotla,,9,Delhi Daredevils
Delhi,2013-05-22,,,20,BJ Hodge,,2013,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,S Ravi,RJ Tucker,,Feroz Shah Kotla,,4,Rajasthan Royals
